member_id,first_name,last_name,neighborhood,grade,book_id,checkout_date,genre,pages,publication_year,publisher
1001,Salma,Ibrahim,Maadi,8.0,525,2024-10-24,Adventure,297.0,2015.0,Oasis Books
1002,Fares,Saleh,Maadi,9.0,501,2024-02-16,Adventure,128.0,2017.0,Nile Press
1002,Fares,Saleh,Maadi,9.0,507,2024-06-25,Science,160.0,2024.0,Nile Press
1003,Bassel,Hegazy,Maadi,6.0,513,2025-07-22,Science,294.0,2021.0,Oasis Books
1003,Bassel,Hegazy,Maadi,6.0,501,2025-11-14,Adventure,128.0,2017.0,Nile Press
1003,Bassel,Hegazy,Maadi,6.0,501,2024-06-19,Adventure,128.0,2017.0,Nile Press
1003,Bassel,Hegazy,Maadi,6.0,503,2024-03-25,Historical,259.0,2017.0,Nile Press
1003,Bassel,Hegazy,Maadi,6.0,513,2025-09-04,Science,294.0,2021.0,Oasis Books
1003,Bassel,Hegazy,Maadi,6.0,521,2025-08-21,Science,211.0,2024.0,Cairo Young Readers
1003,Bassel,Hegazy,Maadi,6.0,519,2024-12-03,Friendship,157.0,2014.0,Nile Press
1003,Bassel,Hegazy,Maadi,6.0,519,2025-09-17,Friendship,157.0,2014.0,Nile Press
1003,Bassel,Hegazy,Maadi,6.0,522,2025-06-12,Mystery,104.0,2016.0,Cairo Young Readers
1005,Youssef,Halim,Maadi,9.0,505,2024-01-26,Historical,216.0,2024.0,Oasis Books
1005,Youssef,Halim,Maadi,9.0,513,2025-07-15,Science,294.0,2021.0,Oasis Books
1005,Youssef,Halim,Maadi,9.0,507,2025-03-07,Science,160.0,2024.0,Nile Press
1006,Layla,Mansour,Maadi,6.0,501,2025-03-18,Adventure,128.0,2017.0,Nile Press
1007,Sherif,Fouad,Maadi,6.0,513,2025-03-05,Science,294.0,2021.0,Oasis Books
1007,Sherif,Fouad,Maadi,6.0,507,2024-10-11,Science,160.0,2024.0,Nile Press
1007,Sherif,Fouad,Maadi,6.0,506,2024-07-15,Friendship,183.0,2017.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,513,2025-04-20,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,Maadi,8.0,501,2025-08-23,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,525,2024-06-03,Adventure,297.0,2015.0,Oasis Books
1008,Ziad,Saleh,Maadi,8.0,516,2025-07-20,Nature,241.0,2010.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,501,2025-05-22,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,507,2025-03-15,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,513,2025-02-13,Science,294.0,2021.0,Oasis Books
1008,Ziad,Saleh,Maadi,8.0,507,2024-01-05,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,507,2025-03-22,Science,160.0,2024.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,502,2025-06-12,Adventure,109.0,2018.0,Delta House
1008,Ziad,Saleh,Maadi,8.0,514,2024-07-28,Science Fiction,328.0,2023.0,Cairo Young Readers
1008,Ziad,Saleh,Maadi,8.0,501,2024-03-20,Adventure,128.0,2017.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,509,2024-01-02,Mystery,221.0,2011.0,Nile Press
1008,Ziad,Saleh,Maadi,8.0,529,2025-12-12,Mystery,298.0,2017.0,Cairo Young Readers
1008,Ziad,Saleh,Maadi,8.0,521,2024-09-21,Science,211.0,2024.0,Cairo Young Readers
1008,Ziad,Saleh,Maadi,8.0,520,2024-05-28,Science Fiction,136.0,2009.0,Oasis Books
1008,Ziad,Saleh,Maadi,8.0,520,2025-12-27,Science Fiction,136.0,2009.0,Oasis Books
1008,Ziad,Saleh,Maadi,8.0,525,2024-12-15,Adventure,297.0,2015.0,Oasis Books
